description,endTimestamp,fromLat,fromLon,impact,isBothDirections,lightVehicle,networkPointFromLinkName,startTimestamp,status,subtypeCodes,subtypeNames,totalLanes,type
Obras en Monteagudo GCBA,2019-01-04T16:05:20Z,-34.642704010009766,-58.40454864501953,Desconocido,False,0,MONTEAGUDO,2019-01-04T15:43:21Z,Cancelado,2,Obras en calzada,0,Corte NO programado
Obras gcba,2019-01-04T19:20:26Z,-34.642704010009766,-58.40454864501953,Desconocido,False,0,MONTEAGUDO,2019-01-04T18:53:49Z,Terminado,2,Obras en calzada,0,Corte NO programado
Buenos Aires:. En Junín (S) entre  Arenales Y  Avenida Santa Fe,2019-03-25T15:00:02Z,-34.5944709777832,-58.39716720581055,Menor,False,0,JUNIN,2019-01-15T19:44:00Z,Cancelado,,,0,Cierre de carril
Buenos Aires:. En Humahuaca (W) en Humahuaca (W) (1399) ,2019-02-21T11:42:33Z,-34.60256642671732,-58.41592790150694,Ninguno,False,0,BILLINGHURST,2019-01-17T17:29:38Z,Terminado,,,0,Manifestación
Buenos Aires:. En Avenida Raúl Scalabrini Ortiz (W) entre  Padilla Y  Juan Ramírez de Velasco,2019-02-21T11:43:32Z,-34.60128402709961,-58.441097259521484,Severo,False,0,"SCALABRINI ORTIZ, RAUL AV.",2019-01-18T13:44:00Z,Terminado,,,0,Manifestación
Buenos Aires:. En Avenida Hipólito Yrigoyen (E) entre  Sánchez de Loria Y  Maza. Carriles afectados: carril 1 (cerrado),2019-01-18T16:29:55Z,-34.61260986328125,-58.41340255737305,Menor,False,0,"YRIGOYEN, HIPOLITO AV.",2019-01-18T16:05:00Z,Terminado,,,0,Manifestación
Buenos Aires:. Debido a Obras en calzada en Francisco Acuña de Figueroa (S) en  Humahuaca,2019-01-19T16:14:00Z,-34.601741790771484,-58.42237854003906,Desconocido,False,0,HUMAHUACA,2019-01-18T16:14:00Z,Cancelado,1,Obras en calzada,0,Corte programado
Buenos Aires:. Debido a Obras en calzada y Manifestación en Mario Bravo (N) en  Bartolomé Mitre,2019-03-25T15:02:09Z,-34.60954284667969,-58.41740036010742,Menor,False,0,"MITRE, BARTOLOME",2019-01-18T16:37:00Z,Cancelado,"4,2","Manifestación,Obras en calzada",0,Corte NO programado
Buenos Aires:. Debido a Accidente en Adolfo Alsina (W) en  Catamarca,2019-03-22T12:52:49Z,-34.61251449584961,-58.406925201416016,Menor,False,0,CATAMARCA,2019-01-18T16:43:00Z,Cancelado,8,Accidente,0,Accidente
Obras en calzada ,2019-01-21T18:14:51Z,-34.63519687382611,-58.358973498278175,Menor,False,0,"BROWN, ALTE. AV.",2019-01-21T12:05:00Z,Terminado,2,Obras en calzada,0,Corte NO programado
CORTE POR PODA,2019-01-21T18:12:30Z,-34.62664955696521,-58.36210500863508,Menor,False,0,"GALVEZ, MANUEL",2019-01-21T13:54:00Z,Terminado,2,Obras en calzada,0,Corte NO programado
CORTE POR PODA,2019-01-21T14:47:08Z,-34.63300965184305,-58.51910992436948,Menor,False,0,"JUSTO, JUAN B. AV.",2019-01-21T13:58:00Z,Terminado,2,Obras en calzada,0,Corte NO programado
CORTE POR PODA,2019-01-21T18:04:11Z,-34.54308641186856,-58.47291774205007,Menor,False,0,CABILDO AV.,2019-01-21T14:01:00Z,Terminado,2,Obras en calzada,0,Corte NO programado
Buenos Aires:. Debido a Riesgo en calzada en Villarino (W) en  Perdriel,2019-01-21T15:15:35Z,-34.6553840637207,-58.38380432128906,Ninguno,False,0,PERDRIEL,2019-01-21T14:50:22Z,Cancelado,7,Riesgo en calzada,0,Corte NO programado
Buenos Aires:. Debido a Accidente en Santo Domingo (E1) en  Lafayette,2019-01-21T15:35:08Z,-34.65394973754883,-58.39045333862305,Menor,False,0,SANTO DOMINGO,2019-01-21T15:23:18Z,Cancelado,8,Accidente,0,Accidente
OPERATIVO DE BOMBEROS,2019-01-21T16:21:30Z,-34.616981704344404,-58.403993894673036,Menor,False,0,JUJUY AV.,2019-01-21T16:12:00Z,Terminado,7,Riesgo en calzada,0,Corte NO programado
OPERATIVO DE BOMBEROS,2019-01-21T18:11:29Z,-34.613593478784324,-58.52570039012861,Menor,False,0,LOPE DE VEGA AV.,2019-01-21T16:32:00Z,Terminado,7,Riesgo en calzada,0,Corte NO programado
Buenos Aires:. Debido a Accidente en Presidente José Evaristo Uriburu (N) entre  Avenida Corrientes y Presidente José Evaristo Uriburu (N) (692) ,2019-01-21T17:23:52Z,-34.604583740234375,-58.398231506347656,Considerable,False,0,"URIBURU JOSE E., Pres.",2019-01-21T17:03:00Z,Cancelado,8,Accidente,0,Accidente
Operativo de bomberos,2019-01-22T11:44:14Z,-34.59401433028625,-58.41436092048203,Considerable,False,0,SOLER,2019-01-22T11:07:00Z,Terminado,7,Riesgo en calzada,0,Corte NO programado
CORTE POR PODA,2019-01-22T15:17:20Z,-34.6346071938122,-58.488568295962246,Menor,False,0,CARRASCO AV.,2019-01-22T11:29:51Z,Terminado,2,Obras en calzada,0,Corte NO programado
CORTE POR PODA,2019-01-29T20:02:00Z,-34.59044631778459,-58.5014423899316,Menor,False,0,EL FOGON,2019-01-22T11:33:36Z,Terminado,2,Obras en calzada,0,Corte NO programado
CORTE POR PODA,2019-01-22T15:17:52Z,-34.628540113320845,-58.363980302132745,Menor,False,0,GUALEGUAY,2019-01-22T11:49:42Z,Terminado,2,Obras en calzada,0,Corte NO programado
OPERATIVO DE BOMBEROS,2019-01-22T17:06:45Z,-34.609195817965826,-58.38350141788745,Considerable,False,0,SALTA,2019-01-22T17:01:00Z,Terminado,7,Riesgo en calzada,0,Corte NO programado
VALLADO POLICIAL,2019-01-24T13:21:19Z,-34.60653032312873,-58.3702295398565,Severo,False,0,"ALEM, LEANDRO N. AV.",2019-01-23T12:42:29Z,Terminado,4,Manifestación,0,Corte NO programado
Buenos Aires:  Evento de prueba de permisos,2019-01-23T14:23:42Z,-34.59905125532048,-58.38211170020145,Menor,False,0,9 DE JULIO AV.,2019-01-23T14:15:02Z,Cancelado,5,Accidente,0,Incidente de tráfico
Buenos Aires:. Debido a Manifestación en Agustín Magaldi (N) entre  Zepita y  Avenida Osvaldo Cruz,2019-01-23T16:53:03Z,-34.65837860107422,-58.39171600341797,Menor,False,1,"MAGALDI, AGUSTIN",2019-01-23T15:18:00Z,Cancelado,4,Manifestación,0,Corte NO programado
Corte por evento,2019-01-24T02:59:00Z,-34.552630663513305,-58.45076801709607,Considerable,False,0,MONROE,2019-01-23T18:31:00Z,Terminado,3,Manifestación,0,Corte programado
Corte por evento,2019-01-24T02:59:00Z,-34.548610265656876,-58.45385649445659,Considerable,False,0,"UDAONDO, GUILLERMO AV.",2019-01-23T19:37:00Z,Terminado,3,Manifestación,0,Corte programado
Corte por evento,2019-01-24T02:59:00Z,-34.54051306784084,-58.44937763399319,Considerable,False,0,"COLECTORA CANTILO, Int.",2019-01-23T19:42:00Z,Terminado,3,Manifestación,0,Corte programado
Corte por evento,2019-01-24T02:59:00Z,-34.546261886548265,-58.452005035674006,Considerable,False,0,"UDAONDO, GUILLERMO AV.",2019-01-23T19:45:00Z,Terminado,3,Manifestación,0,Corte programado
Corte por evento,2019-01-24T02:59:00Z,-34.54953765869097,-58.45379257202251,Considerable,False,0,QUESADA,2019-01-23T19:47:00Z,Terminado,3,Manifestación,0,Corte programado
Corte por evento,2019-01-24T02:59:00Z,-34.55044013482536,-58.4529025259296,Considerable,False,0,DEL LIBERTADOR AV.,2019-01-23T19:52:00Z,Terminado,3,Manifestación,0,Corte programado
Corte por evento,2019-01-24T02:59:00Z,-34.55197027368702,-58.45151927405517,Considerable,False,0,ROOSEVELT FRANKLIN D.,2019-01-23T19:55:00Z,Terminado,3,Manifestación,0,Corte programado
Corte por evento,2019-01-24T02:59:00Z,-34.5521745388076,-58.44991660852675,Considerable,False,0,MONROE,2019-01-23T19:56:00Z,Resuelto,3,Manifestación,0,Corte programado
Corte por evento,2019-01-24T02:59:00Z,-34.550958791571205,-58.447726555162575,Considerable,False,0,"MENDEZ, NICANOR",2019-01-23T19:59:00Z,Terminado,3,Manifestación,0,Corte programado
Corte por evento,2019-01-24T02:59:00Z,-34.5502612276468,-58.44656067717934,Considerable,False,0,"ROMERO, EDUARDO, Sgto.",2019-01-23T20:19:00Z,Terminado,3,Manifestación,0,Corte programado
INSTITUCIONAL - Arte en Barrios,2019-01-27T00:00:00Z,-34.58437971973776,-58.454900630286005,Menor,False,0,"GARCIA, TEODORO",2019-01-26T17:00:00Z,Terminado,3,Manifestación,0,Corte programado
MANIFESTACION,2019-02-04T14:46:07Z,-34.59170658447633,-58.382911916727096,Considerable,False,0,CERRITO,2019-01-24T14:19:04Z,Terminado,,,0,Manifestación
VALLADO POLICIAL,2019-01-24T20:13:21Z,-34.60725370174652,-58.37040536106056,Severo,False,0,"ALEM, LEANDRO N. AV.",2019-01-24T14:46:01Z,Terminado,4,Manifestación,0,Corte NO programado
"MANIFESTACION ""PROBANDO""",2019-02-21T11:37:02Z,-34.61409077378563,-58.395979319149724,Menor,False,0,RINCON,2019-01-24T15:20:40Z,Terminado,,,0,Manifestación
MANIFESTACION,2019-01-25T14:03:20Z,-34.6039924621582,-58.381038665771484,Severo,True,0,"PELLEGRINI, CARLOS",2019-01-24T15:33:24Z,Terminado,,,0,Manifestación
CORTE POR OBRAS,2019-03-14T02:59:00Z,-34.65066810047505,-58.41619120818228,Considerable,False,0,"LUPPI, ABRAHAM J.",2019-01-24T17:37:50Z,Terminado,1,Obras en calzada,0,Corte programado
CORTE POR OBRAS,2019-01-25T01:48:24Z,-34.60344199709832,-58.40228602105388,Menor,False,0,LARREA,2019-01-25T01:31:49Z,Terminado,2,Obras en calzada,0,Corte NO programado
Obras ,2019-01-26T22:00:00Z,-34.62049909691634,-58.36620430042995,Menor,False,0,"HUERGO, ING. AV.",2019-01-26T10:00:00Z,Terminado,1,Obras en calzada,0,Corte programado
Buenos Aires:. En Avenida Díaz Vélez  entre Otamendi y Acevedo,2019-02-04T14:45:54Z,-34.60874600066835,-58.43465513741445,Menor,False,0,DIAZ VELEZ AV.,2019-01-26T14:00:00Z,Terminado,,,0,Manifestación
PODA,2019-01-28T17:00:00Z,-34.59734212040813,-58.51073703090204,Menor,False,0,"GONZALEZ, JOAQUIN V.",2019-01-28T12:42:00Z,Terminado,2,Obras en calzada,0,Corte NO programado
PODA,2019-01-28T17:00:00Z,-34.598125125722774,-58.4427542104098,Menor,False,0,GURRUCHAGA,2019-01-28T13:05:00Z,Terminado,2,Obras en calzada,0,Corte NO programado
OPERATIVO DE BOMBEROS,2019-01-29T20:03:13Z,-34.62076319417313,-58.37285415005958,Considerable,False,0,BOLIVAR,2019-01-28T20:36:07Z,Terminado,4,Manifestación,0,Corte NO programado
OBRAS,2019-02-06T09:00:00Z,-34.639895720143635,-58.376362151797736,Considerable,False,0,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,2019-02-06T00:30:00Z,Terminado,1,Obras en calzada,0,Corte programado
PODA,2019-01-29T17:00:00Z,-34.63840473712781,-58.479102738425134,Menor,False,0,"BONIFACIO, JOSE",2019-01-29T12:21:00Z,Terminado,2,Obras en calzada,0,Corte NO programado
MANIFESTACION,2019-02-04T14:45:24Z,-34.61561705112105,-58.39029344613343,Considerable,False,0,SOLIS,2019-01-29T14:50:00Z,Terminado,,,0,Manifestación
Obras ,2019-03-11T11:00:00Z,-34.586312652944414,-58.43353852313628,Considerable,False,0,HONDURAS,2019-01-28T11:00:00Z,Terminado,1,Obras en calzada,0,Corte programado
Manifestacion,2019-01-31T18:20:42Z,-34.62089232528615,-58.41508704148803,Considerable,False,0,INDEPENDENCIA AV.,2019-01-29T19:14:32Z,Terminado,4,Manifestación,0,Corte NO programado
Manifestacion,2019-01-31T18:20:56Z,-34.61983321122087,-58.41659690628467,Considerable,False,0,BOEDO AV.,2019-01-29T19:17:30Z,Terminado,4,Manifestación,0,Corte NO programado
MANIFESTACION,2019-01-29T23:44:43Z,-34.595049510359466,-58.378515636457905,Considerable,False,0,SANTA FE AV.,2019-01-29T22:17:15Z,Terminado,4,Manifestación,0,Corte NO programado
MANIFESTACION,2019-01-29T23:44:28Z,-34.6092639065905,-58.39133282423587,Considerable,False,0,CALZADA CIRCULAR PLAZA DE LOS CONGRESOS,2019-01-29T22:19:07Z,Terminado,4,Manifestación,0,Corte NO programado
OBRAS,2019-01-29T23:45:21Z,-34.62185115252043,-58.374172937841784,Considerable,False,0,PERU,2019-01-29T23:08:33Z,Terminado,2,Obras en calzada,0,Corte NO programado
Misa ,2019-02-03T02:00:00Z,-34.629177170500796,-58.482265930443646,Ninguno,False,0,BAHIA BLANCA,2019-02-02T21:00:00Z,Terminado,1,Obras en calzada,0,Corte programado
Procesión  ,2019-02-03T01:00:00Z,-34.625981808333925,-58.48374688615098,Ninguno,False,0,"VALLESE, FELIPE",2019-02-03T00:00:00Z,Terminado,1,Obras en calzada,0,Corte programado
MANIFESTACION,2019-02-04T14:44:47Z,-34.60391286332019,-58.38129511939694,Severo,False,0,CORRIENTES AV.,2019-01-30T13:06:00Z,Terminado,,,0,Manifestación
Procesión ,2019-02-03T01:00:00Z,-34.62628165208396,-58.48512118156767,Ninguno,False,0,"VALLESE, FELIPE",2019-02-03T00:00:00Z,Terminado,1,Obras en calzada,0,Corte programado
Corte total por arbol caido,2019-01-31T18:21:35Z,-34.615136135989275,-58.399278602131126,Severo,False,0,PICHINCHA,2019-01-30T18:28:46Z,Terminado,7,Riesgo en calzada,0,Corte NO programado
Corte total por manifestacion,2019-01-31T18:22:12Z,-34.624256660025445,-58.37121226538054,Severo,False,0,"GARAY, JUAN DE AV.",2019-01-30T20:17:33Z,Terminado,4,Manifestación,0,Corte NO programado
Corte total por manifestacion,2019-01-31T18:21:09Z,-34.61570229597245,-58.41702686886714,Severo,False,0,BOEDO AV.,2019-01-30T22:18:37Z,Terminado,4,Manifestación,0,Corte NO programado
Corte total por manifestacion,2019-01-31T16:13:35Z,-34.62314392136805,-58.438476712252715,Severo,False,0,"ALBERDI, JUAN BAUTISTA AV.",2019-01-30T22:27:03Z,Resuelto,4,Manifestación,0,Corte NO programado
Corte total por manifestacion,2019-01-31T18:21:53Z,-34.60333709903798,-58.396896787604575,Severo,False,0,JUNIN,2019-01-30T22:39:08Z,Terminado,4,Manifestación,0,Corte NO programado
Buenos Aires:. En Doctor Nicolás Repetto (N4) en  Franklin,2019-02-21T11:43:46Z,-34.61034393310547,-58.448020935058594,Menor,False,0,FRANKLIN,2019-01-31T16:25:00Z,Terminado,,,0,Manifestación
CORTE TOTAL POR MANIFESTACION,2019-02-01T19:21:02Z,-34.6092491149899,-58.39131546020589,Severo,False,0,CALZADA CIRCULAR PLAZA DE LOS CONGRESOS,2019-01-31T21:23:00Z,Terminado,4,Manifestación,0,Corte NO programado
Buenos Aires:. Debido a Manifestación en Avenida Luis María Campos (N) entre Avenida Luis María Campos (N) (7)  y Avenida Luis María Campos (N) (437) ,2019-02-01T00:35:00Z,-34.57734489783644,-58.42835264883972,Severo,False,0,"CAMPOS, LUIS M. AV.",2019-01-31T21:58:00Z,Terminado,4,Manifestación,0,Corte NO programado
CORTE TOTAL POR MANIFESTACION ,2019-02-01T19:21:39Z,-34.59954277431299,-58.40112369142485,Severo,False,0,CORDOBA AV.,2019-01-31T23:04:00Z,Terminado,4,Manifestación,0,Corte NO programado
CORTE TOTAL POR MANIFESTACION,2019-02-01T19:21:26Z,-34.602207879688926,-58.396992559192476,Severo,False,0,JUNIN,2019-01-31T23:28:00Z,Terminado,4,Manifestación,0,Corte NO programado
PODA ,2019-02-01T16:59:00Z,-34.64180829506113,-58.4748230447912,Menor,False,0,MARTINEZ CASTRO,2019-02-01T11:59:42Z,Terminado,2,Obras en calzada,0,Corte NO programado
CORTE TOTAL POR OPERATIVO DE BOMBEROS ,2019-02-04T14:45:11Z,-34.60366932348655,-58.3808937521502,Severo,False,0,"PELLEGRINI, CARLOS",2019-02-01T19:18:00Z,Terminado,7,Riesgo en calzada,0,Corte NO programado
CORTE TOTAL POR MANIFESTACION,2019-02-02T01:20:30Z,-34.62662386686372,-58.42415428859967,Severo,False,0,SAN JUAN AV.,2019-02-01T20:51:00Z,Terminado,4,Manifestación,0,Corte NO programado
Buenos Aires:. En Avenida Pueyrredón (S) entre Avenida Pueyrredón (S) (2494)  Y  Lavalle,2019-02-21T11:39:42Z,-34.60191990077426,-58.40478985357309,Menor,False,0,PUEYRREDON AV.,2019-02-05T03:27:40Z,Terminado,,,0,Manifestación
PODA,2019-02-05T17:00:00Z,-34.547367095947266,-58.48183059692383,Menor,False,0,CORREA,2019-02-05T11:46:00Z,Terminado,2,Obras en calzada,0,Corte NO programado
PODA,2019-02-05T17:00:00Z,-34.60725021362305,-58.42140579223633,Menor,False,0,POTOSI,2019-02-05T12:14:00Z,Terminado,2,Obras en calzada,0,Corte NO programado
PODA,2019-02-05T17:00:00Z,-34.60862350463867,-58.42469024658203,Menor,False,0,GASCON,2019-02-05T14:15:00Z,Terminado,2,Obras en calzada,0,Corte NO programado
VALLADO POLICIAL,2019-02-06T00:12:05Z,-34.57727362151013,-58.417370082569285,Considerable,False,0,SARMIENTO AV.,2019-02-05T15:28:52Z,Terminado,4,Manifestación,0,Corte NO programado
VALLADO POLICIAL,2019-02-06T00:12:20Z,-34.574612800232,-58.41845880254488,Considerable,False,0,COLOMBIA AV.,2019-02-05T17:27:20Z,Terminado,4,Manifestación,0,Corte NO programado
CORTE TOTAL POR MANIFESTACION,2019-02-06T00:10:11Z,-34.6092491149899,-58.39131546020589,Severo,False,0,CALZADA CIRCULAR PLAZA DE LOS CONGRESOS,2019-02-05T22:58:36Z,Terminado,4,Manifestación,0,Corte NO programado
PODA,2019-02-06T16:59:00Z,-34.63544845581055,-58.40928268432617,Menor,False,0,24 DE NOVIEMBRE,2019-02-06T11:54:46Z,Terminado,2,Obras en calzada,0,Corte NO programado
PODA,2019-02-06T16:59:00Z,-34.554908752441406,-58.49619674682617,Menor,False,0,CORREA,2019-02-06T11:57:38Z,Terminado,2,Obras en calzada,0,Corte NO programado
